"","num_bureau","num_bureau_vote","inscrit","votant","bul_nul","suffrage","bby","yaw","wallu","bunt","aar","bgg","mpr","naw","som_vote","@_id","@_uuid","@_submission_time","@_index","@_parent_table_name","index","@_tags","@_notes","@_version","@_duration","@_submitted_by","@_xform_id","region","departement","centre_vote","reportaire","bureau_reel"
"272","10",17,643,225,225,225,65,153,3,0,2,0,0,2,"225",NA,"",NA,272,"data",205,"","","","","","","01","014","Adolf Diagne","FERNAND","10"
"273","1",3,583,269,1,268,79,165,11,0,1,1,7,3,"267",NA,"",NA,273,"data",206,"","","","","","","01","011","LPA14","Yassine","1"
"274","1",11,584,264,0,264,62,168,14,0,7,2,11,0,"264",NA,"",NA,274,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"275","2",6,584,284,1,284,78,178,15,0,0,0,12,0,"283",NA,"",NA,275,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"276","3",21,585,278,0,278,57,197,10,0,5,1,7,1,"278",NA,"",NA,276,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"277","4",5,583,280,1,279,72,173,18,0,2,0,12,2,"279",NA,"",NA,277,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"278","5",8,584,269,0,269,73,164,14,0,3,1,14,0,"269",NA,"",NA,278,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"279","6",16,584,212,2,210,40,143,5,0,3,2,15,2,"210",NA,"",NA,279,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"280","7",15,585,267,1,266,67,168,12,0,6,2,8,3,"266",NA,"",NA,280,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"281","8",1,585,274,0,274,88,155,9,0,4,1,15,2,"274",NA,"",NA,281,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"282","9",17,584,206,3,203,43,142,9,1,1,0,7,0,"203",NA,"",NA,282,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"283","10",19,581,293,0,293,86,186,8,1,0,0,11,1,"293",NA,"",NA,283,"data",207,"","","","","","","01","011","LPA14","Yacouba","10"
"284","1",1,371,209,0,209,159,7,39,1,1,0,0,2,"209",NA,"",NA,284,"data",208,"","","","","","","03","033","SAM CONTOR","OUSMANE","1"
"285","1",14,581,254,2,249,71,154,16,0,2,0,6,0,"249",NA,"",NA,285,"data",209,"","","","","","","01","011","LPA14","Yassine","2"
"286","2",11,584,264,0,264,62,168,14,0,7,2,11,0,"264",NA,"",NA,286,"data",209,"","","","","","","01","011","LPA14","Yassine","2"
"287","1",1,550,312,0,312,147,17,130,2,2,2,3,5,"308",NA,"",NA,287,"data",210,"","","","","","","03","033","DENDEYE","OUSMANE","1"
"288","1",NA,483,242,0,242,190,7,33,0,1,4,0,6,"241",NA,"",NA,288,"data",211,"","","","","","","03","033","Guiy Gui","landing cisse","1"
"289","1",18,569,199,0,199,56,122,5,0,3,0,13,0,"199",NA,"",NA,289,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"290","2",19,623,218,0,218,67,127,11,0,0,3,9,1,"218",NA,"",NA,290,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"291","3",20,580,203,0,203,60,121,10,1,4,0,7,0,"203",NA,"",NA,291,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"292","4",21,554,194,0,194,47,129,9,1,2,0,5,0,"193",NA,"",NA,292,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"293","5",22,680,238,0,238,74,151,8,1,1,0,3,0,"238",NA,"",NA,293,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"294","6",23,717,251,0,251,91,137,9,1,2,0,11,1,"252",NA,"",NA,294,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"295","7",12,731,256,0,256,94,147,0,0,5,NA,0,4,"NaN",NA,"",NA,295,"data",212,"","","","","","","01","014","Adolf Diagne","FERNAND","7"
"296","1",7,584,273,1,272,84,165,11,0,3,1,6,2,"272",NA,"",NA,296,"data",213,"","","","","","","01","011","LPA14","Yassine","2"
"297","2",20,583,207,2,205,45,149,2,0,1,0,8,0,"205",NA,"",NA,297,"data",213,"","","","","","","01","011","LPA14","Yassine","2"
"298","1",13,583,293,2,291,79,186,12,0,2,1,9,0,"289",NA,"",NA,298,"data",214,"","","","","","","01","011","LPA14","Yacouba","5"
"299","2",12,584,255,6,249,61,165,7,1,6,0,9,0,"249",NA,"",NA,299,"data",214,"","","","","","","01","011","LPA14","Yacouba","5"
"300","3",10,582,273,1,272,76,178,7,0,0,0,6,1,"268",NA,"",NA,300,"data",214,"","","","","","","01","011","LPA14","Yacouba","5"
"301","4",9,584,274,1,273,66,174,11,1,2,2,12,0,"268",NA,"",NA,301,"data",214,"","","","","","","01","011","LPA14","Yacouba","5"
"302","5",4,585,280,0,280,70,173,15,1,3,0,17,1,"280",NA,"",NA,302,"data",214,"","","","","","","01","011","LPA14","Yacouba","5"
"303","1",1,621,267,0,267,131,113,6,0,4,3,7,3,"267",NA,"",NA,303,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"304","2",2,577,267,0,267,132,114,6,0,2,1,7,5,"267",NA,"",NA,304,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"305","3",4,568,239,0,239,113,116,0,4,3,0,2,1,"239",NA,"",NA,305,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"306","4",5,573,260,2,258,134,111,3,4,1,3,2,0,"258",NA,"",NA,306,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"307","5",3,582,241,1,240,118,114,2,0,0,3,2,1,"240",NA,"",NA,307,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"308","6",3,570,265,0,265,134,116,4,2,1,4,3,1,"265",NA,"",NA,308,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"309","7",12,569,252,1,251,110,119,3,6,2,3,5,3,"251",NA,"",NA,309,"data",215,"","","","","","","06","061","Ecole Ibrahima Niass","Bruce","7"
"310","1",1,513,278,0,278,112,146,14,1,1,0,4,0,"278",NA,"",NA,310,"data",216,"","","","","","","04","043","CEM TELMAQUE SOW","OUSMANE","1"
"311","1",NA,270,107,0,107,4,12,87,0,0,0,4,0,"107",NA,"",NA,311,"data",217,"","","","","","","15","1000","ASTI","Yassine","1"
"312","1",21,340,146,0,146,73,73,0,0,0,0,0,0,"146",NA,"",NA,312,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"313","2",22,395,170,0,170,56,114,0,0,0,0,0,0,"170",NA,"",NA,313,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"314","3",23,395,170,0,170,63,107,0,0,0,0,0,0,"170",NA,"",NA,314,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"315","4",24,295,127,0,127,51,76,0,0,0,0,0,0,"127",NA,"",NA,315,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"316","5",14,533,229,0,229,115,114,0,0,0,0,0,0,"229",NA,"",NA,316,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"317","6",15,558,240,0,240,120,120,0,0,0,0,0,0,"240",NA,"",NA,317,"data",218,"","","","","","","06","061","kaolack","Adoumbaye","6"
"318","1",1,30767,11267,0,11267,1467,1071,8394,5,37,10,273,10,"11267",NA,"",NA,318,"data",219,"","","","","","","15","1000","Consulat général du Sénégal  à Milan","Fernand","1"
"319","1",2,584,284,1,283,118,141,13,2,2,1,9,1,"287",NA,"",NA,319,"data",220,"","","","","","","04","043","ECOLE BOUBACAR DIOP","OUSMANE","1"
"320","1",NA,330,148,0,148,12,22,105,0,1,2,6,0,"148",NA,"",NA,320,"data",221,"","","","","","","15","1000","BASSANO DEL GRAPPA","Yassine","1"
"321","1",NA,7209,3605,9,3596,899,2357,160,11,15,7,135,14,"3598",NA,"",NA,321,"data",222,"","","","","","","01","014","Centre Pikine 16","Badara TAMBA","13"
"322","1",3,594,272,0,272,101,142,11,3,5,0,9,1,"272",NA,"",NA,322,"data",223,"","","","","","","04","043","ECOLE CHEIKH TOURE/QUAI DE PECHE","OUSMANE","1"
